date,category,amount,description
02-07-2024,Income,720.0,credit interest
02-07-2024,Expenses,745,reacharge
02-07-2024,Expenses,30
03-07-2024,Expenses,327.54
05-07-2024,Expenses,60
07-07-2024,Expenses,310
07-07-2024,Income,30
11-07-2024,Expenses,120,petrol
12-07-2024,Expenses,900,ATM
19-07-2024,Expenses,100.00,Toast
21-07-2024,Expenses,300
01-08-2024,Expenses,16,tea
02-07-2024,Expenses,10,chocolate
